id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
97,208,2018C,CUATRIMESTRAL,2020/05/04 15:23,1900/01/01 00:00,1900/01/01 00:00
98,104,2015B,SEMESTRE ,2020/05/04 15:28,1900/01/01 00:00,1900/01/01 00:00
99,208,2019A,NO APLICA,2020/05/04 15:33,2020/05/19 21:49,1900/01/01 00:00
100,208,2019A,CUATRIMESTRAL,2020/05/04 15:33,1900/01/01 00:00,1900/01/01 00:00
101,208,2019B,CUATRIMESTRAL,2020/05/04 15:43,1900/01/01 00:00,1900/01/01 00:00
102,208,2019C,CUATRIMESTRAL,2020/05/04 16:01,1900/01/01 00:00,1900/01/01 00:00
103,208,2020A,CUATRIMESTRAL,2020/05/04 16:12,1900/01/01 00:00,1900/01/01 00:00
104,104,2016A,SEMESTRE ,2020/05/04 17:16,1900/01/01 00:00,1900/01/01 00:00
105,104,2016B,SEMESTRE ,2020/05/04 17:16,1900/01/01 00:00,1900/01/01 00:00
106,104,2017A,SEMESTRE ,2020/05/04 17:17,2020/05/04 17:17,1900/01/01 00:00
107,104,2017B,SEMESTRE ,2020/05/04 17:18,1900/01/01 00:00,1900/01/01 00:00
108,104,2018A,SEMESTRE ,2020/05/04 17:18,1900/01/01 00:00,1900/01/01 00:00
109,104,2018B,SEMESTRE ,2020/05/04 17:19,1900/01/01 00:00,1900/01/01 00:00
110,104,2019A,SEMESTRE ,2020/05/04 17:19,1900/01/01 00:00,1900/01/01 00:00
111,206,2018B,CUATRIMESTRAL,2020/05/04 19:09,1900/01/01 00:00,1900/01/01 00:00
112,206,2018C,CUATRIMESTRAL,2020/05/04 23:35,1900/01/01 00:00,1900/01/01 00:00
113,206,2019A,CUATRIMESTRAL,2020/05/04 23:53,1900/01/01 00:00,1900/01/01 00:00
114,206,2019B,CUATRIMESTRAL,2020/05/05 00:10,1900/01/01 00:00,1900/01/01 00:00
115,206,2019C,CUATRIMESTRAL,2020/05/05 00:24,1900/01/01 00:00,1900/01/01 00:00
116,206,2020A,CUATRIMESTRAL,2020/05/05 00:40,1900/01/01 00:00,1900/01/01 00:00
117,9,2020A,CUATRIMESTRAL ,2020/05/13 10:07,1900/01/01 00:00,1900/01/01 00:00
118,9,2020B,CUATRIMESTRAL,2020/05/13 10:59,2020/05/13 10:59,1900/01/01 00:00
119,40,2016B,SEMESTRAL,2020/05/13 12:58,1900/01/01 00:00,1900/01/01 00:00
120,40,2017A,SEMESTRAL,2020/05/13 14:17,1900/01/01 00:00,1900/01/01 00:00
121,40,2017B,SEMESTRAL,2020/05/13 15:55,1900/01/01 00:00,1900/01/01 00:00
122,40,2018A,SEMESTRAL,2020/05/14 13:20,1900/01/01 00:00,1900/01/01 00:00
123,40,2018B,SEMESTRAL,2020/05/14 15:39,1900/01/01 00:00,1900/01/01 00:00
124,72,2016A,SEMESTRAL,2020/05/14 16:46,2020/05/20 13:50,1900/01/01 00:00
125,40,2019A,SEMESTRAL,2020/05/14 17:35,1900/01/01 00:00,1900/01/01 00:00
126,40,2019B,SEMESTRAL,2020/05/14 17:57,1900/01/01 00:00,1900/01/01 00:00
127,40,2020A,SEMESTRAL,2020/05/14 18:06,1900/01/01 00:00,1900/01/01 00:00
128,51,2016B,SEMESTRAL,2020/05/18 11:32,1900/01/01 00:00,1900/01/01 00:00
129,51,2017A,SEMESTRAL,2020/05/18 11:41,1900/01/01 00:00,1900/01/01 00:00
130,194,2019B,SEMESTRAL,2020/05/18 11:57,1900/01/01 00:00,1900/01/01 00:00
131,194,2020A,SEMESTRAL,2020/05/18 12:07,1900/01/01 00:00,1900/01/01 00:00
132,51,2017B,SEMESTRAL,2020/05/18 14:29,1900/01/01 00:00,1900/01/01 00:00
133,208,2020B,CUATRIMESTRAL,2020/05/19 01:51,1900/01/01 00:00,1900/01/01 00:00
134,51,2018A,SEMESTRAL,2020/05/19 09:41,1900/01/01 00:00,1900/01/01 00:00
135,51,2018B,SEMESTRAL,2020/05/19 09:49,2020/05/19 09:53,1900/01/01 00:00
136,51,2019A,SEMESTRAL,2020/05/19 11:22,1900/01/01 00:00,1900/01/01 00:00
137,51,2019B,SEMESTRAL,2020/05/19 12:29,1900/01/01 00:00,1900/01/01 00:00
138,51,2020A,SEMESTRAL,2020/05/19 12:55,1900/01/01 00:00,1900/01/01 00:00
139,79,2016C,CUATRIMESTRAL,2020/05/19 17:58,1900/01/01 00:00,1900/01/01 00:00
140,206,2020B,CUATRIMESTRAL,2020/05/20 00:56,1900/01/01 00:00,1900/01/01 00:00
141,72,2016B,SEMESTRAL ,2020/05/20 13:48,2020/05/20 13:51,1900/01/01 00:00
142,72,2017A,SEMESTRAL ,2020/05/20 13:49,2020/05/20 13:51,1900/01/01 00:00
143,72,2017B,SEMESTRAL ,2020/05/20 13:49,2020/05/21 10:21,1900/01/01 00:00
144,72,2018A,SEMESTRAL ,2020/05/20 13:51,1900/01/01 00:00,1900/01/01 00:00
145,72,2018B,SEMESTRAL ,2020/05/20 13:52,1900/01/01 00:00,1900/01/01 00:00
146,72,2019A,SEMESTRAL ,2020/05/20 13:52,1900/01/01 00:00,1900/01/01 00:00
147,118,2016A,SEMESTRAL,2020/05/21 11:35,1900/01/01 00:00,1900/01/01 00:00
148,118,2016B,SEMESTRAL,2020/05/21 11:35,1900/01/01 00:00,1900/01/01 00:00
149,118,2017A,SEMESTRAL,2020/05/21 11:36,1900/01/01 00:00,1900/01/01 00:00
150,118,2017B,SEMESTRAL,2020/05/21 11:36,1900/01/01 00:00,1900/01/01 00:00
151,118,2018A,SEMESTRAL,2020/05/21 11:36,1900/01/01 00:00,1900/01/01 00:00
152,118,2018B,SEMESTRAL,2020/05/21 11:37,1900/01/01 00:00,1900/01/01 00:00
153,118,2019A,SEMESTRAL,2020/05/21 11:37,1900/01/01 00:00,1900/01/01 00:00
154,118,2019B,SEMESTRAL,2020/05/21 11:38,1900/01/01 00:00,1900/01/01 00:00
155,79,2017A,CUATRIMESTRAL,2020/05/22 10:50,1900/01/01 00:00,1900/01/01 00:00
156,79,2017B,CUATRIMESTRAL,2020/05/22 13:41,1900/01/01 00:00,1900/01/01 00:00
