id,municipio_id,estado_id,calle,numero_exterior,numero_interior,colonia,codigo_postal,latitud,longitud,created_at,updated_at,deleted_at
87,599,14,Francisco I. Madero,86,o,Centro,47750,0,0,2019/10/30 14:21,2019/11/29 14:00
88,532,14,Galeana,346,0,Centro,44100,20.67143591,-103.3487159,2019/10/31 12:26,2019/11/15 14:11
89,532,14,Emilio Castelar,92,0,Arcos Vallarta ,0,0,0,2019/10/31 13:25,2019/11/15 14:11
90,533,14,Av. Hidalgo ,484,0,Centro Historico,45100,20.72262238,-103.3957631,2019/11/01 12:32,2023/07/26 12:50
91,532,14,Av. 16 de Septiembre,410,5A,Centro,44100,20.67071881,-103.3473768,2019/11/01 13:13,2022/03/18 12:16
92,631,14,Nicolás Bravo,339,4,Centro,49000,0,0,2019/11/06 17:11,2023/09/04 11:40,2023/08/31 12:00
93,631,14,Nicolás Bravo ,339,4,Centro,49000,19.71235489,-103.4746399,2019/11/06 17:11,2020/03/11 17:23
94,532,14,Francisco I. Madero,729,0,Americana,44100,20.67461974,-103.2422235,2019/11/07 12:04,2020/01/10 13:20
95,532,14,Mexicaltzingo,2376,0,Arcos  sur,44150,0,0,2019/11/07 12:09,2023/08/18 11:20
96,588,14,Hermenegildo Galeana,24,0,Independecia,47270,21.5146891,-102.2408805,2019/11/07 15:11,2022/03/03 14:30
97,588,14,Hermenegildo Galeana,24,0,Independecia,47270,0,0,2019/11/07 15:18
98,588,14,Calle Miguel Hidalgo,507,Piso 1,Barrio el rosario,47270,0,0,2019/11/07 15:28,2022/03/04 14:56
99,532,14,Av. Hidalgo,2308,0,Ladrón de Guevara,44690,20.67786615,-103.3483602,2019/11/11 13:27,2019/11/13 16:26
100,532,14,Avellaneda,1810,7,Providencia,44630,0,0,2019/11/11 13:36,2022/12/05 10:33
101,532,14,Av. 16 de Septiembre,245,0,Centro,44100,20.67299495,-103.3469517,2019/11/11 17:07,2022/05/22 14:18
102,533,14,Paseo de Loma Sur,12,0,Royal Contry,45010,0,0,2019/11/11 17:19,2023/02/27 14:05
103,600,14,Manuel Enriquez,443,0,Ferrocarril,47830,20.35566959,-102.7710817,2019/11/12 14:39,2022/11/04 11:41
104,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/11/12 14:48,2020/07/28 12:06
105,532,14,Madero,385,0,Centro,44270,0,0,2019/11/13 11:12,2023/05/29 11:42
106,532,14,Madero,411,411,Centro,44100,0,0,2019/11/13 11:32,2023/05/31 09:56
107,532,14,Andrés Terán ,1106,0,Mezquitán Country,44260,0,0,2019/11/14 10:21,2023/07/22 10:05
108,532,14,San Miguel ,620,1,Chapalita,45500,0,0,2019/11/14 10:29,2023/07/22 10:05
109,532,14,Av. Hidalgo,1310,0,Americana,44160,20.67713888,-103.3656742,2019/11/15 12:25
110,532,14,Av. Hidalgo,1310,0,Americana,44160,20.67713888,-103.3656742,2019/11/15 12:43
111,532,14,Av. Hidalgo,1310,0,Americana,44160,20.67713888,-103.3656742,2019/11/15 13:08,2022/03/08 16:53
112,532,14,Av Faro,2350,Planta baja,Verde Valle,44550,20.65165953,-103.3898449,2019/11/21 12:13,2023/08/07 11:10
113,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/11/26 11:56
114,532,14,AV VALLARTA ,1479,0,LAFAYETTE,44160,20.662373,-103.3346846,2019/11/26 11:56
115,588,14,Calle Miguel Hidalgo,507,0,Barrio del Rosario,47270,21.52096616,-102.2403165,2019/11/26 12:31,2022/03/04 14:56
116,532,14,Simón Bolívar,391,0,Obrera ,44140,20.66934038,-103.3724072,2019/11/26 13:44,2021/02/02 16:52
117,533,14,Rio Bec ,1446,0,Pinar de la Calma ,45080,0,0,2019/11/26 13:51,2021/02/02 16:52
118,532,14,Av. Vallarta,1479,0,Lafayette,44160,20.67802255,-103.3640116,2019/11/26 19:08,2023/03/01 13:09
119,532,14,Prisciliano Sánchez ,315,n/a,Centro,44100,20.67276846,-103.3480909,2019/11/27 14:49,2023/02/15 16:32
120,532,14,Av. Vallarta ,1479,0,Lafayette,44160,0,0,2019/11/27 20:42,2023/03/01 13:09
121,532,14,Av. Circunvalación Dr. Atl,377,0,Monumental,44320,20.69510896,-103.3254638,2019/11/28 13:20,2020/01/30 13:31
122,532,14,Samaria,919,0,Hermosa Provincia,44770,0,0,2019/11/28 13:27,2020/01/30 13:31
123,532,14,Montes Urales,1367,N/A,Independencia Oriente,44340,0,0,2019/12/02 14:34,2020/01/29 14:31
124,533,14,Zaragoza,73,0,Zapopan Centro,45100,0,0,2019/12/02 14:48,2023/07/26 12:50
125,553,14,PRIVADA DE LA PAZ ,6,0,SAN ANTONIO TLAYACAPAN,45922,0,0,2019/12/03 13:04,2020/02/14 11:45
126,553,14,PASEO CENTENARIO DE LA REVOLUCIÓN ,No. 530.,0,Ajijic Centro,45920,20.29817707,-103.285066,2019/12/03 13:11
127,553,14,Paseo Centenario de la Revolución,530,0,Ajijic Centro,45920,20.29817204,-103.2850892,2019/12/03 13:29,2020/02/14 11:45
128,612,14,Revolución,558,0,LAS JUNTAS,48291,20.69569411,-105.2417069,2019/12/04 11:01,2021/10/15 18:07
129,532,14,Av. Federalismo Sur,47,0,Centro,44100,20.67579741,-103.3544773,2019/12/04 12:32,2020/02/04 14:40
130,532,14,Av. Federalismo Sur,47,0,Centro,44100,0,0,2019/12/04 12:39,2023/09/01 12:57
131,532,14,General San Martín,227,0,Americana,44140,20.67178222,-103.3715147,2019/12/04 17:06,2019/12/12 17:10
132,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2019/12/04 17:09,2019/12/12 17:10
133,571,14,Camino a San Juan ,3,0,Delegación San Pedro,46580,20.81800392,-104.0608538,2019/12/05 16:31,2023/03/08 11:55
134,533,14,Colima,99,0,Fraccionamiento Volcán del Colli,45010,0,0,2019/12/05 16:41,2023/03/08 11:55
135,532,14,Lopez Cotilla,1854,0,Americana,44160,20.67369196,-103.3749962,2019/12/10 12:09,2020/01/15 14:32
136,532,14,Manuel López Cotilla ,1854,0,Americana,44160,0,0,2019/12/10 12:19,2023/07/31 12:45
137,532,14,Manuel Acuña ,1783,0,Ladrón de Guevara,44600,0,0,2019/12/17 11:18,2021/10/12 09:08
138,532,14,Av Niños Heroes,1555,501,Moderna,44190,0,0,2019/12/17 11:24
139,599,14,Francisco I. Madero,86,o,Centro,47750,20.54982475,-102.5068713,2019/12/17 13:11,2019/12/17 13:27
140,532,14,C. Juan C. Bonilla,496,n/a,5 de Mayo 2da Sección,0,0,0,2019/12/17 18:03,2023/04/17 12:32
141,593,14,Miguel Leandro Guerra,387,n/a,Centro,47400,0,0,2019/12/17 18:03
142,593,14,Miguel Leandro Guerra,387,n/a,Centro,47400,21.35555374,-101.9302391,2019/12/17 18:12,2023/04/17 12:03
143,599,14,Independencia,53,0,Centro,47750,20.54886732,-102.5071987,2019/12/19 13:14
144,599,14,Independencia,53,0,Centro,47750,20.54886732,-102.5071987,2019/12/19 13:23
145,532,14,Juan C. Bonilla,496,N/A,5 de mayo 2da. sección,44940,0,0,2019/12/29 18:03,2022/06/01 11:23
146,597,14,Galeana,182,n/a,centro,47600,20.56608242,-103.3795526,2019/12/29 18:03
147,597,14,Galeana,182,N/A,Centro,47600,0,0,2019/12/29 18:05
148,597,14,Galeana,182,N/A,Centro,47600,20.81812774,-102.7578211,2019/12/29 18:09,2023/01/06 16:46
149,532,14,Pedro Moreno,472,0,Centro,44100,20.67587018,-103.3492926,2020/01/02 10:37,2023/05/03 12:55
150,532,14,Vidrio,1984,0,Americana,44100,20.66771908,-103.367888,2020/01/08 13:20,2021/09/14 14:14
151,532,14,vidrio ,1984,0,Americana,44160,0,0,2020/01/08 13:38,2023/03/31 13:09
152,532,14,Felix Palavicini,2032,N/A,Jardines Alcalde,44298,20.70482403,-103.3453122,2020/01/08 14:38,2023/07/13 14:21
153,533,14,Paseo de los Tamarindos,3271,0,Fraccionamiento Tabachines,45188,0,0,2020/01/08 14:40,2023/07/13 14:21
154,532,14,Juárez,685,0,Centro,44100,0,0,2020/01/10 11:23,2020/01/15 12:06
155,532,14,Juárez,685,0,Centro,44100,0,0,2020/01/10 11:23
156,532,14,Francisco I. Madero,729,0,Americana,44100,20.67461974,-103.2422235,2020/01/10 14:12
157,532,14,Francisco I. Madero,729,0,Centro,44100,20.67927726,-103.2426312,2020/01/10 14:22,2020/01/14 17:32
158,532,14,Avenida Ávila Camacho,2047,0,Lomas del Country,44610,0,0,2020/01/13 15:11,2020/01/14 19:54
159,533,14,Orión,3671,0,La Calma,45070,20.63373044,-103.4159829,2020/01/13 18:14,2020/12/11 13:52
160,532,14,Independencia ,1063,0,Americana,44100,20.6780075,-103.3598277,2020/01/14 11:24,2021/12/30 17:10
161,532,14,Avenida Rosario Castellanos,2164,0,Jardines del Sur,44950,0,0,2020/01/14 11:34,2021/12/30 17:10
162,532,14,AV. ÁVILA CAMACHO ,2047,0,LOMAS DEL COUNTRY,44610,0,0,2020/01/14 12:32,2020/01/14 19:54
163,532,14,Lopez Mateos Sur ,478,0,Vallarta sur,44500,20.67006068,-103.3907998,2020/01/14 16:55,2020/07/13 14:11
164,532,14,Calzada Independencia Norte,111,0,Centro,44100,0,0,2020/01/14 17:00,2023/08/28 16:42
165,532,14,Francisco I. Madero,729,0,Centro,44100,20.67927726,-103.2426312,2020/01/14 17:52,2020/05/21 12:00
166,533,14,Santa Maria,289,0,Chapalita Sur,45040,20.65955032,-103.4043288,2020/01/15 12:03,2023/09/11 17:52
167,533,14,Santa María,289,0,Chapalita Sur,45040,0,0,2020/01/15 12:05,2023/09/11 18:04
168,532,14,Av. de los Maestros,1943,0,Chapultepec Country,44620,0,0,2020/01/15 14:15,2020/01/16 11:26
169,532,14,Avenida Lázaro Cárdenas ,2862,0,Jardines del Bosque,44520,20.65651854,-103.3273816,2020/01/15 15:17,2020/09/22 11:02
170,532,14,SIN DATO,0,0,SIN DATO,0,0,0,2020/01/15 15:35,2020/01/16 14:49
171,532,14,Av. Aviación ,300,107, Fracc. Solares Residencial,45019,0,0,2020/01/15 15:43,2023/09/11 11:25
172,532,14,Santa Gertrudis,1789,28,Parques de Santa Cruz del Valle,45615,0,0,2020/01/15 19:24,2020/03/20 12:47
173,533,14,Avenida López Mateos Sur,5225,0,Las Águilas,45080,20.62989,-103.4165141,2020/01/15 19:45,2020/03/20 12:47
174,532,14,Av. Miguel Hidalgo y Costilla,1681,S/N,Ladrón de Guevara,44600,20.67671587,-103.3727378,2020/01/16 14:42,2020/01/17 09:48
175,532,14,Av. Hidalgo ,1689,0,Ladrón de Guevara,44600,0,0,2020/01/16 15:22,2022/08/05 12:41
176,532,14,Calzada Las Palmas,89,0,La Aurora,44460,20.65985147,-103.3468225,2020/01/16 18:29,2022/12/05 12:06
177,532,14,Av. Miguel Hidalgo y Costilla,1681,S/N,Ladrón de Guevara,44600,20.67671587,-103.3727378,2020/01/17 13:26,2021/10/13 12:58
178,532,14,Lopez Cotilla,1854,0,Americana,44160,20.67369196,-103.3749962,2020/01/17 14:05,2020/01/17 16:26
179,532,14,Colomos,2516,0,Providencia,44630,0,0,2020/01/17 16:45,2022/12/05 12:06
180,532,14,Manuel López Cotilla,1854,0,Americana,44160,20.67369196,-103.3749962,2020/01/17 17:04,2020/02/22 13:34
181,532,14,GARIBALDI ,931,0,CAPILLA DE JESUS,44200,0,0,2020/01/17 20:33,2020/01/17 23:33
182,533,14,Obsidiana,2861,0,Residencial Victoria,45089,20.64121671,-103.401471,2020/01/21 16:48,2020/06/04 17:00
