id,estado_id,nombre,created_at
220,8,Ahumada,2022-02-22 11:03:56
221,8,Coyame del Sotol,2022-02-22 11:03:56
222,8,Ojinaga,2022-02-22 11:03:56
223,8,Aldama,2022-02-22 11:03:56
224,8,Julimes,2022-02-22 11:03:56
225,8,Manuel Benavides,2022-02-22 11:03:56
226,8,Delicias,2022-02-22 11:03:56
227,8,Rosales,2022-02-22 11:03:56
228,8,Meoqui,2022-02-22 11:03:56
229,8,Dr. Belisario Domínguez,2022-02-22 11:03:56
230,8,Satevó,2022-02-22 11:03:56
231,8,San Francisco de Borja,2022-02-22 11:03:56
232,8,Nonoava,2022-02-22 11:03:56
233,8,Guachochi,2022-02-22 11:03:56
234,8,Bocoyna,2022-02-22 11:03:56
235,8,Cusihuiriachi,2022-02-22 11:03:56
236,8,Gran Morelos,2022-02-22 11:03:56
237,8,Santa Isabel,2022-02-22 11:03:56
238,8,Carichí,2022-02-22 11:03:56
239,8,Uruachi,2022-02-22 11:03:56
240,8,Ocampo,2022-02-22 11:03:56
241,8,Moris,2022-02-22 11:03:56
242,8,Chínipas,2022-02-22 11:03:56
243,8,Maguarichi,2022-02-22 11:03:56
244,8,Guazapares,2022-02-22 11:03:56
245,8,Batopilas,2022-02-22 11:03:56
246,8,Urique,2022-02-22 11:03:56
247,8,Morelos,2022-02-22 11:03:56
248,8,Guadalupe y Calvo,2022-02-22 11:03:56
249,8,San Francisco del Oro,2022-02-22 11:03:56
250,8,Rosario,2022-02-22 11:03:56
251,8,Huejotitán,2022-02-22 11:03:56
252,8,El Tule,2022-02-22 11:03:56
253,8,Balleza,2022-02-22 11:03:56
254,8,Santa Bárbara,2022-02-22 11:03:56
255,8,Camargo,2022-02-22 11:03:56
256,8,Saucillo,2022-02-22 11:03:56
257,8,Valle de Zaragoza,2022-02-22 11:03:56
258,8,La Cruz,2022-02-22 11:03:56
259,8,San Francisco de Conchos,2022-02-22 11:03:56
260,8,Hidalgo del Parral,2022-02-22 11:03:56
261,8,Allende,2022-02-22 11:03:56
262,8,López,2022-02-22 11:03:56
263,8,Matamoros,2022-02-22 11:03:56
264,8,Jiménez,2022-02-22 11:03:56
265,8,Coronado,2022-02-22 11:03:56
266,9,Álvaro Obregón,2022-02-22 11:03:56
267,9,Azcapotzalco,2022-02-22 11:03:56
268,9,Benito Juárez,2022-02-22 11:03:56
269,9,Coyoacán,2022-02-22 11:03:56
270,9,Cuajimalpa de Morelos,2022-02-22 11:03:56
271,9,Cuauhtémoc,2022-02-22 11:03:56
272,9,Gustavo A. Madero,2022-02-22 11:03:56
273,9,Iztacalco,2022-02-22 11:03:56
274,9,Iztapalapa,2022-02-22 11:03:56
275,9,La Magdalena Contreras,2022-02-22 11:03:56
276,9,Miguel Hidalgo,2022-02-22 11:03:56
277,9,Milpa Alta,2022-02-22 11:03:56
278,9,Tláhuac,2022-02-22 11:03:56
279,9,Tlalpan,2022-02-22 11:03:56
280,9,Venustiano Carranza,2022-02-22 11:03:56
281,9,Xochimilco,2022-02-22 11:03:56
282,10,Durango,2022-02-22 11:03:56
283,10,Canatlán,2022-02-22 11:03:56
284,10,Nuevo Ideal,2022-02-22 11:03:56
285,10,Coneto de Comonfort,2022-02-22 11:03:56
286,10,San Juan del Río,2022-02-22 11:03:56
287,10,Canelas,2022-02-22 11:03:56
288,10,Topia,2022-02-22 11:03:56
289,10,Tamazula,2022-02-22 11:03:56
290,10,Santiago Papasquiaro,2022-02-22 11:03:56
291,10,Otáez,2022-02-22 11:03:56
292,10,San Dimas,2022-02-22 11:03:56
293,10,Guadalupe Victoria,2022-02-22 11:03:56
294,10,Peñón Blanco,2022-02-22 11:03:56
295,10,Pánuco de Coronado,2022-02-22 11:03:56
296,10,Poanas,2022-02-22 11:03:56
297,10,Nombre de Dios,2022-02-22 11:03:56
298,10,Vicente Guerrero,2022-02-22 11:03:56
299,10,Súchil,2022-02-22 11:03:56
300,10,Pueblo Nuevo,2022-02-22 11:03:56
301,10,Mezquital,2022-02-22 11:03:56
302,10,Gómez Palacio,2022-02-22 11:03:56
303,10,Lerdo,2022-02-22 11:03:56
304,10,Mapimí,2022-02-22 11:03:56
305,10,Tlahualilo,2022-02-22 11:03:56
306,10,Hidalgo,2022-02-22 11:03:56
307,10,Ocampo,2022-02-22 11:03:56
308,10,Guanaceví,2022-02-22 11:03:56
309,10,San Bernardo,2022-02-22 11:03:56
310,10,Indé,2022-02-22 11:03:56
311,10,San Pedro del Gallo,2022-02-22 11:03:56
312,10,Tepehuanes,2022-02-22 11:03:56
313,10,El Oro,2022-02-22 11:03:56
314,10,Nazas,2022-02-22 11:03:56
315,10,San Luis del Cordero,2022-02-22 11:03:56
316,10,Rodeo,2022-02-22 11:03:56
317,10,Cuencamé,2022-02-22 11:03:56
318,10,Santa Clara,2022-02-22 11:03:56
319,10,San Juan de Guadalupe,2022-02-22 11:03:56
320,10,General Simón Bolívar,2022-02-22 11:03:56
321,11,Guanajuato,2022-02-22 11:03:56
322,11,Silao de la Victoria,2022-02-22 11:03:56
323,11,Romita,2022-02-22 11:03:56
324,11,San Francisco del Rincón,2022-02-22 11:03:56
325,11,Purísima del Rincón,2022-02-22 11:03:56
326,11,Manuel Doblado,2022-02-22 11:03:56
327,11,Irapuato,2022-02-22 11:03:56
328,11,Salamanca,2022-02-22 11:03:56
329,11,Pueblo Nuevo,2022-02-22 11:03:56
330,11,Pénjamo,2022-02-22 11:03:56
331,11,Cuerámaro,2022-02-22 11:03:56
332,11,Abasolo,2022-02-22 11:03:56
333,11,Huanímaro,2022-02-22 11:03:56
334,11,León,2022-02-22 11:03:56
335,11,San Felipe,2022-02-22 11:03:56
336,11,Ocampo,2022-02-22 11:03:56
337,11,San Miguel de Allende,2022-02-22 11:03:56
