id,plantel_id,tipo_instalacion_id,nombre,ubicacion,capacidad,metros,recursos,created_at,updated_at,deleted_at
120,8,1,Aula 2|,0,0,0,NA,2019/09/13 14:43,2019/09/17 12:24,1900/01/01 00:00
121,8,1,aula 3,0,0,0,NA,2019/09/13 14:49,2019/09/17 12:24,1900/01/01 00:00
122,8,1,aula 4,0,0,0,NA,2019/09/13 14:55,2019/09/17 12:24,1900/01/01 00:00
123,8,1,aula 6,0,0,0,NA,2019/09/13 15:05,1900/01/01 00:00,1900/01/01 00:00
124,8,1,Aula 5,0,0,0,NA,2019/09/13 15:12,2019/09/17 12:24,1900/01/01 00:00
125,8,1,aula 6,0,0,0,NA,2019/09/13 15:22,2019/09/17 12:24,1900/01/01 00:00
126,8,1,Aula 7,0,0,0,NA,2019/09/13 15:29,2019/09/17 12:24,1900/01/01 00:00
127,14,1,PRIMER SEMESTRE,0,0,0,NA,2019/09/13 15:30,2019/09/13 15:48,1900/01/01 00:00
128,8,1,Aula 8,0,0,0,NA,2019/09/13 15:38,2019/09/17 12:24,1900/01/01 00:00
129,8,1,Aula 9,0,0,0,NA,2019/09/13 15:46,2019/09/17 12:24,1900/01/01 00:00
130,14,1,PRIMER SEMESTRE,0,0,0,NA,2019/09/13 15:48,2019/09/20 14:44,1900/01/01 00:00
131,14,1,PRIMER SEMESTRE,0,0,0,NA,2019/09/13 15:48,2019/09/20 14:44,1900/01/01 00:00
132,8,1,Aula,0,0,0,NA,2019/09/13 15:53,1900/01/01 00:00,1900/01/01 00:00
133,8,1,Aula 10,0,0,0,NA,2019/09/13 15:53,2019/09/17 12:24,1900/01/01 00:00
134,14,1,SEGUNDO SEMESTRE,0,0,0,NA,2019/09/13 15:58,2019/09/20 14:44,1900/01/01 00:00
135,14,1,TERCER SEMESTRE,0,0,0,NA,2019/09/13 16:05,2019/09/20 14:44,1900/01/01 00:00
136,14,1,CUARTO SEMESTRE,0,0,0,NA,2019/09/13 16:12,2019/09/20 14:44,1900/01/01 00:00
137,14,1,QUINTO SEMESTRE,0,0,0,NA,2019/09/13 16:17,2019/09/20 14:44,1900/01/01 00:00
138,14,1,SEXTO SEMESTRE,0,0,0,NA,2019/09/13 16:31,2019/09/20 14:44,1900/01/01 00:00
139,14,1,SEPTIMO SEMESTRE,0,0,0,NA,2019/09/13 16:31,2019/09/20 14:44,1900/01/01 00:00
140,14,1,OCTAVO SEMESTRE,0,0,0,NA,2019/09/13 16:44,2019/09/20 14:44,1900/01/01 00:00
141,14,1,ASIGNATURAS OPCIONALES,0,0,0,NA,2019/09/13 16:44,2019/09/20 14:44,1900/01/01 00:00
142,8,1,A-O,0,30,35,NA,2019/09/17 12:24,2019/10/01 15:55,1900/01/01 00:00
143,11,1,AULA 1,PLANTA ALTA ,18,33,PINTARRON nT.V nAPPLE T.VnESCRITORIOS nSILLAS ,2019/09/17 12:34,2019/09/17 12:42,1900/01/01 00:00
144,11,1,AULA 2,PLANTA ALTA ,15,28,PINTARRON; T.V ; APPLE T.V ; ESCRITORIOS Y SILLAS ,2019/09/17 12:34,2019/09/17 12:42,1900/01/01 00:00
145,11,1,AULA 3,PLANTA ALTA ,15,26,PINTARRON; T.V ; APPLE T.V ; ESCRITORIOS Y SILLAS ,2019/09/17 12:34,2019/09/17 12:42,1900/01/01 00:00
146,11,2,CUBICULO ,PLANTA ALTA ,4,9,ESCRITORIO Y SILLA ,2019/09/17 12:34,2020/08/26 16:36,1900/01/01 00:00
147,11,4,TALLER DE MATERIALES Y TEXTILES ,PLANTA BAJA ,18,30,PIEDRAS;MADERAS;MOSAICOS; ETC ,2019/09/17 12:42,2020/08/26 16:36,1900/01/01 00:00
148,11,6,TALLER FISICO ERGONOMIA Y ANTROPOMETRIA ,PLANTA ALTA ,18,57,TEXTILES ,2019/09/17 12:42,2020/08/26 16:36,1900/01/01 00:00
149,11,8,CENTRO DE COMPUTO ,PLANTA ALTA ,18,33,ESCRITORIOS; SILLAS Y LAPTOS ,2019/09/17 12:42,2020/08/26 16:36,1900/01/01 00:00
150,11,9,BIBLIOTECA FISICA ,PLANTA ALTA ,18,36,LIBREROS;LIBROS; MESA Y SILLAS ,2019/09/17 12:42,2020/08/26 16:36,1900/01/01 00:00
151,5,1,Primer cuatrimestre,0,0,0,NA,2019/09/18 13:01,2019/09/18 13:55,1900/01/01 00:00
152,5,1,Segundo Cuatrimestre,0,0,0,NA,2019/09/18 13:14,2019/09/18 13:55,1900/01/01 00:00
153,5,1,Tercer Cuatrimestre,0,0,0,NA,2019/09/18 13:26,2019/09/18 13:55,1900/01/01 00:00
154,14,1,PRIMER SEMESTRE,0,0,0,NA,2019/09/18 13:27,2019/09/20 14:39,1900/01/01 00:00
155,14,1,SEGUNDO SEMESTRE,0,0,0,NA,2019/09/18 13:43,1900/01/01 00:00,1900/01/01 00:00
156,14,1,SEGUNDO SEMESTRE,0,0,0,NA,2019/09/18 13:43,2019/09/20 14:39,1900/01/01 00:00
157,5,1,A,0,0,0,NA,2019/09/18 13:55,2019/10/01 15:56,1900/01/01 00:00
158,5,1,A O,0,0,0,NA,2019/09/18 13:55,2019/10/01 15:56,1900/01/01 00:00
159,14,1,TERCER SEMESTRE,0,0,0,NA,2019/09/18 14:17,2019/09/20 14:39,1900/01/01 00:00
160,14,1,CUARTO SEMSETRE,0,0,0,NA,2019/09/18 14:29,2019/09/20 14:39,1900/01/01 00:00
161,14,1,QUINTO SEMESTRE,0,0,0,NA,2019/09/18 14:40,2019/09/20 14:39,1900/01/01 00:00
162,14,1,SEXTO SEMSESTRE,0,0,0,NA,2019/09/18 15:11,1900/01/01 00:00,1900/01/01 00:00
163,14,1,SEPTIMO SEMESTRE,0,0,0,NA,2019/09/18 15:11,2019/09/20 14:39,1900/01/01 00:00
164,14,1,SEXTO SEMESTRE,0,0,0,NA,2019/09/18 15:11,2019/09/20 14:39,1900/01/01 00:00
165,14,1,OCTAVO SEMSESTRE,0,0,0,NA,2019/09/18 15:21,2019/09/20 14:39,1900/01/01 00:00
166,14,1,ASIGNATURA OPCIONAL,0,0,0,NA,2019/09/18 15:32,2019/09/20 14:39,1900/01/01 00:00
167,5,1,Primer Cutrimestre,0,0,0,NA,2019/09/18 15:37,2019/09/19 13:40,1900/01/01 00:00
168,5,1,Segundo Cuatrimestre,0,0,0,NA,2019/09/18 15:46,2019/09/19 13:40,1900/01/01 00:00
169,5,1,Tercer Cuatrimestre,0,0,0,NA,2019/09/18 15:52,1900/01/01 00:00,1900/01/01 00:00
170,5,1,Tercer Cuatrimestre,0,0,0,NA,2019/09/19 12:16,2019/09/19 13:40,1900/01/01 00:00
171,2,1,AULA 1ER SEMESTRE ,P.N,12,12,--,2019/09/19 12:24,2019/09/26 12:36,1900/01/01 00:00
172,2,1,AULA 2DO SEMESTRE ,0,0,0,0,2019/09/19 13:00,2019/09/26 12:44,1900/01/01 00:00
173,5,1,A,0,0,0,NA,2019/09/19 13:40,2019/10/01 15:56,1900/01/01 00:00
174,5,1,AO,0,0,0,NA,2019/09/19 13:40,2019/10/01 15:56,1900/01/01 00:00
175,14,1,ARQUITECTURA Y URBANISMO,0,0,0,NA,2019/09/19 14:30,2019/09/20 14:12,1900/01/01 00:00
176,5,1,Primer Cuatrimestre,0,0,0,NA,2019/09/19 14:42,2019/09/19 14:53,1900/01/01 00:00
177,14,1,SEGUNDO SEMSETRE,0,0,0,NA,2019/09/19 14:47,2019/09/20 14:12,1900/01/01 00:00
178,5,1,Primer Cuatrimestre,0,0,0,NA,2019/09/19 14:53,2019/09/19 15:08,1900/01/01 00:00
179,14,1,TERCER SEMESTRE,0,0,0,NA,2019/09/19 14:56,2019/09/20 14:12,1900/01/01 00:00
180,5,1,A.,0,0,0,NA,2019/09/19 15:00,2019/10/01 15:56,1900/01/01 00:00
181,15,1,A,0,0,0,NA,2019/09/19 15:08,2019/10/01 15:56,1900/01/01 00:00
182,14,1,CUARTO SEMESTRE,0,0,0,NA,2019/09/19 15:12,2019/09/20 14:12,1900/01/01 00:00
183,14,1,QUINTO SEMESTRE,0,0,0,NA,2019/09/19 15:20,2019/09/20 14:12,1900/01/01 00:00
184,14,1,SEXTO SEMESTRE,0,0,0,NA,2019/09/19 15:37,2019/09/20 14:12,1900/01/01 00:00
185,14,1,SEPTIMO SEMESTRE,0,0,0,NA,2019/09/19 15:49,2019/09/19 15:57,1900/01/01 00:00
186,14,1,OCTAVO SEMESTRE,0,0,0,NA,2019/09/19 15:49,2019/09/19 15:57,1900/01/01 00:00
187,14,1,SEPTIMO SEMESTRE,0,0,0,NA,2019/09/19 15:49,2019/09/20 14:12,1900/01/01 00:00
188,14,1,OCTAVO SEMESTRE,0,0,0,NA,2019/09/19 15:49,2019/09/20 14:12,1900/01/01 00:00
189,14,1,ASIGNATURAS OPTATIVAS,0,0,0,NA,2019/09/19 15:57,2019/09/20 14:12,1900/01/01 00:00
190,2,1,AULA 3ER SEMESTRE ,-,0,0,-,2019/09/23 10:05,2019/09/26 12:44,1900/01/01 00:00
191,2,1,AULA 4TO SEMESTRE ,-,0,0,-,2019/09/23 11:02,2019/09/26 12:44,1900/01/01 00:00
192,2,1,AULA 5TO SEMESTRE ,-,0,0,-,2019/09/23 11:26,2019/09/26 12:44,1900/01/01 00:00
193,18,1,PRIMER SEMESTRE,0,0,0,NA,2019/09/24 15:17,2019/09/25 16:40,1900/01/01 00:00
194,18,1,SEGUNDO SEMESTRE,0,0,0,NA,2019/09/24 15:24,2019/09/25 16:40,1900/01/01 00:00
195,18,1,TERCER SEMESTRE,0,0,0,NA,2019/09/24 16:04,2019/09/25 16:40,1900/01/01 00:00
196,18,1,CUARTO SEMESTRE,0,0,0,NA,2019/09/24 16:17,2019/09/25 16:40,1900/01/01 00:00
197,18,1,QUINTO SEMESTRE,0,0,0,NA,2019/09/24 16:17,2019/09/25 16:40,1900/01/01 00:00
198,18,1,SEXTO SEMESTRE,0,0,0,NA,2019/09/24 16:54,2019/09/25 16:40,1900/01/01 00:00
199,18,1,SEPTIMO SEMESTRE,0,0,0,NA,2019/09/24 16:54,2019/09/25 16:40,1900/01/01 00:00
200,18,1,OCTAVO SEMESTRE,0,0,0,NA,2019/09/24 16:54,1900/01/01 00:00,1900/01/01 00:00
201,18,1,OCTAVO SEMESTRE,0,0,0,NA,2019/09/24 17:01,2019/09/25 16:40,1900/01/01 00:00
202,18,1,MATERIA OPTATIVA,0,0,0,NA,2019/09/24 17:10,2019/09/25 16:40,1900/01/01 00:00
203,19,1,Docentes Primer Cuatrimestre ,0,0,0,NA,2019/09/25 15:30,2019/09/26 13:47,1900/01/01 00:00
204,19,1,Segundo Cuatrimestre,0,0,0,NA,2019/09/25 15:42,2019/09/26 13:47,1900/01/01 00:00
205,19,1,Tercer Cuatrimestre,0,0,0,NA,2019/09/25 16:00,2019/09/26 13:47,1900/01/01 00:00
206,2,1,AULA 6TO SEMESTRE ,-,0,0,-,2019/09/26 10:52,2019/09/26 12:44,1900/01/01 00:00
207,2,1,AULA 7MO SEMESTRE,-,0,0,-,2019/09/26 11:12,2019/09/26 12:44,1900/01/01 00:00
208,2,1,AULA 8VO SEMESTRE ,-,0,0,-,2019/09/26 11:38,2019/09/26 12:44,1900/01/01 00:00
209,47,1,AULA OPTATIVAS ,-,0,0,-,2019/09/26 11:45,2023/03/23 11:29,1900/01/01 00:00
210,19,1,Quito Cuatrimestre,0,0,0,NA,2019/09/26 12:04,1900/01/01 00:00,1900/01/01 00:00
211,19,1,Cuarto Cuatrimestre,0,0,0,NA,2019/09/26 12:11,2019/09/26 13:47,1900/01/01 00:00
212,19,1,Quinto Cuatrimestre,0,0,0,NA,2019/09/26 12:19,2019/09/26 13:47,1900/01/01 00:00
213,2,1,AULA 101,PLANTA BAJA ,20,54,PROYECTORnPANTALLA;nCORCHO,2019/09/26 12:36,2019/09/26 12:44,1900/01/01 00:00
