id,programa_id,turno_id,created_at,updated_at
151,90,4,2019/11/20 12:23,2020/07/09 11:15
152,91,4,2019/11/20 16:31,2019/11/27 10:51
153,92,4,2019/11/21 09:41,2019/12/02 13:24
154,93,4,2019/11/21 12:10,2019/11/26 16:32
155,94,1,2019/11/21 12:41,2019/11/26 10:38
156,94,2,2019/11/21 12:41,2019/11/26 10:38
157,94,3,2019/11/21 12:41,2019/11/26 10:38
158,94,4,2019/11/21 12:41,2019/11/26 10:38
159,95,1,2019/11/21 13:37,2019/11/22 13:42
160,95,2,2019/11/21 13:37,2019/11/22 13:42
161,95,3,2019/11/21 13:37,2019/11/22 13:42
162,96,4,2019/11/21 16:03,2019/11/29 13:00
163,97,4,2019/11/26 11:35,2022/03/04 14:56
164,98,4,2019/11/26 12:51,2020/02/24 21:55
165,99,4,2019/11/26 19:08,1900/01/01 00:00
166,100,4,2019/11/27 17:00,2019/11/28 13:38
167,101,4,2019/11/27 19:42,2020/09/05 14:39
168,102,4,2019/11/28 12:27,2020/01/30 12:30
169,103,2,2019/12/02 13:44,2019/12/02 15:14
170,103,3,2019/12/02 13:44,2019/12/02 15:14
171,104,4,2019/12/02 13:48,2019/12/03 12:04
172,105,4,2019/12/02 14:17,2020/07/01 14:21
173,106,2,2019/12/02 17:06,2019/12/02 18:24
174,106,3,2019/12/02 17:06,2019/12/02 18:24
175,107,2,2019/12/03 08:45,2020/01/29 13:31
176,107,3,2019/12/03 08:45,2020/01/29 13:31
177,108,2,2019/12/03 08:54,1900/01/01 00:00
178,108,3,2019/12/03 08:54,1900/01/01 00:00
179,109,2,2019/12/03 09:20,1900/01/01 00:00
180,109,3,2019/12/03 09:20,1900/01/01 00:00
181,110,4,2019/12/03 12:29,2020/02/14 10:44
182,111,4,2019/12/04 10:09,2019/12/06 13:02
183,112,4,2019/12/04 10:50,2019/12/10 12:50
184,113,1,2019/12/04 11:39,2019/12/06 11:59
185,113,2,2019/12/04 11:39,2019/12/06 11:59
186,113,3,2019/12/04 11:39,2019/12/06 11:59
187,113,4,2019/12/04 11:39,2019/12/06 11:59
188,114,4,2019/12/04 16:09,2019/12/12 16:10
189,115,1,2019/12/05 11:43,2020/01/09 13:12
190,115,2,2019/12/05 11:43,2020/01/09 13:12
191,115,3,2019/12/05 11:43,2020/01/09 13:12
192,116,1,2019/12/05 11:53,2020/01/17 13:05
193,116,2,2019/12/05 11:53,2020/01/17 13:05
194,116,3,2019/12/05 11:53,2020/01/17 13:05
195,117,1,2019/12/05 12:01,2020/01/28 12:40
196,117,2,2019/12/05 12:01,2020/01/28 12:40
197,117,3,2019/12/05 12:01,2020/01/28 12:40
198,118,4,2019/12/05 12:25,2020/01/10 12:20
199,119,2,2019/12/05 15:41,2020/10/04 16:02
200,119,3,2019/12/05 15:41,2020/10/04 16:02
201,119,4,2019/12/05 15:41,2020/10/04 16:02
202,120,4,2019/12/06 11:06,2020/07/01 14:21
203,121,4,2019/12/06 12:10,2020/01/23 14:35
204,122,1,2019/12/06 12:41,2019/12/12 10:36
205,122,2,2019/12/06 12:41,2019/12/12 10:36
206,122,3,2019/12/06 12:41,2019/12/12 10:36
207,122,4,2019/12/06 12:41,2019/12/12 10:36
208,123,4,2019/12/08 17:26,2019/12/08 21:55
209,124,4,2019/12/08 17:29,2020/02/14 10:45
210,125,4,2019/12/09 11:24,2020/02/14 10:45
211,126,4,2019/12/09 12:00,2019/12/12 11:13
212,127,1,2019/12/09 12:39,2019/12/12 11:05
213,127,2,2019/12/09 12:39,2019/12/12 11:05
214,127,3,2019/12/09 12:39,2019/12/12 11:05
215,127,4,2019/12/09 12:39,2019/12/12 11:05
216,128,2,2019/12/09 12:52,2019/12/12 15:32
217,128,3,2019/12/09 12:52,2019/12/12 15:32
218,129,1,2019/12/09 14:08,2019/12/12 12:06
219,129,2,2019/12/09 14:08,2019/12/12 12:06
220,129,3,2019/12/09 14:08,2019/12/12 12:06
221,130,1,2019/12/09 16:31,2019/12/12 11:57
222,130,2,2019/12/09 16:31,2019/12/12 11:57
223,130,3,2019/12/09 16:31,2019/12/12 11:57
224,131,4,2019/12/10 08:21,2020/01/30 12:31
225,132,1,2019/12/10 10:09,2020/01/16 16:21
226,132,2,2019/12/10 10:09,2020/01/16 16:21
227,132,4,2019/12/10 10:09,2020/01/16 16:21
228,133,1,2019/12/10 11:19,2021/07/07 13:51
229,133,2,2019/12/10 11:19,2021/07/07 13:51
230,134,1,2019/12/10 13:41,2019/12/12 12:06
231,134,2,2019/12/10 13:41,2019/12/12 12:06
232,134,3,2019/12/10 13:41,2019/12/12 12:06
233,135,4,2019/12/13 10:14,2019/12/13 15:45
