id,ciclo_escolar_id,turno_id,grado_id,descripcion,grupo,generacion,generacion_fecha_inicio,generacion_fecha_fin,created_at,updated_at,deleted_at
63,27,4,13,Primer semestre,A,2016A-2017B,2016/03/07,2018/02/09,2020/04/22 12:49,1900/01/01 00:00,1900/01/01 00:00
64,25,4,17,Quinto semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/22 12:55,1900/01/01 00:00,1900/01/01 00:00
65,25,4,18,Sexto semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/22 13:02,1900/01/01 00:00,1900/01/01 00:00
66,27,4,14,Segundo semestre,A,2016A-2017B,2016/03/07,2018/02/09,2020/04/22 13:15,2020/04/22 14:28,1900/01/01 00:00
67,25,4,19,Septimo semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/22 13:26,1900/01/01 00:00,1900/01/01 00:00
68,25,4,20,Octavo semestre,A,2016B-2020A,0000-00-00,0000-00-00,2020/04/22 13:39,1900/01/01 00:00,1900/01/01 00:00
69,28,4,14,Segundo semestre,A,2016A-2017B,2016/03/07,2018/02/09,2020/04/22 15:28,1900/01/01 00:00,1900/01/01 00:00
70,26,4,2,Segundo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/22 15:48,1900/01/01 00:00,1900/01/01 00:00
71,29,4,15,Tercero semestre,A,2016A-2017B,2016/03/07,2018/02/09,2020/04/22 16:05,1900/01/01 00:00,1900/01/01 00:00
72,30,4,16,Cuarto semestre,A,2016A-2017B,2016/03/07,2018/02/09,2020/04/22 16:27,1900/01/01 00:00,1900/01/01 00:00
73,31,4,1,Primer cuatrimestre,B,2016B - 2017A,2013/05/16,2027/08/16,2020/04/22 23:22,2020/04/22 23:47,1900/01/01 00:00
74,32,4,13,Primer semestre,A,2016-2018,2016/09/05,2018/08/10,2020/04/23 14:41,1900/01/01 00:00,1900/01/01 00:00
75,29,4,13,Primer semestre,A,2017A-2018B ,2017/03/06,2019/02/08,2020/04/23 14:54,2020/04/23 15:25,1900/01/01 00:00
76,26,4,3,Tercero cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/23 14:55,1900/01/01 00:00,1900/01/01 00:00
77,30,4,14,Segundo semestre,A,2017A-2018B ,2017/03/06,2019/02/08,2020/04/23 15:23,1900/01/01 00:00,1900/01/01 00:00
78,33,4,15,Tercero semestre,A,2017A-2018B ,2017/03/06,2019/02/08,2020/04/23 15:57,1900/01/01 00:00,1900/01/01 00:00
79,26,4,4,Cuarto cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/23 16:37,1900/01/01 00:00,1900/01/01 00:00
80,26,4,5,Quinto cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/23 17:17,1900/01/01 00:00,1900/01/01 00:00
81,34,4,16,Cuarto semestre,A,2017A-2018B ,2017/03/06,2019/02/08,2020/04/24 10:56,1900/01/01 00:00,1900/01/01 00:00
82,26,4,6,Sexto cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/24 12:37,1900/01/01 00:00,1900/01/01 00:00
83,26,4,7,Septimo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/24 13:53,1900/01/01 00:00,1900/01/01 00:00
84,30,4,13,Primer semestre,A,2017B-2019A ,2017/09/04,2019/08/09,2020/04/24 15:08,1900/01/01 00:00,1900/01/01 00:00
85,33,4,14,Segundo semestre,A,2017B-2019A ,2017/09/04,2019/08/09,2020/04/24 15:36,1900/01/01 00:00,1900/01/01 00:00
86,26,4,8,Octavo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/24 15:46,1900/01/01 00:00,1900/01/01 00:00
87,34,4,15,Tercero semestre,A,2017B-2019A ,2017/09/04,2019/08/09,2020/04/24 16:09,1900/01/01 00:00,1900/01/01 00:00
88,26,4,9,Noveno cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/24 17:06,1900/01/01 00:00,1900/01/01 00:00
89,26,4,10,Decimo cuatrimestre,A,2016A-2019A,0000-00-00,0000-00-00,2020/04/24 17:32,1900/01/01 00:00,1900/01/01 00:00
90,35,4,16,Cuarto semestre,A,2017B-2019A ,2017/09/04,2019/08/09,2020/04/24 17:42,1900/01/01 00:00,1900/01/01 00:00
91,31,4,2,Segundo cuatrimestre,A,2017C -2018B,2008/01/18,2004/05/18,2020/04/26 17:31,1900/01/01 00:00,1900/01/01 00:00
92,31,4,3,Tercero cuatrimestre,A,2017C -2018B,2007/05/18,2025/08/18,2020/04/26 17:50,1900/01/01 00:00,1900/01/01 00:00
93,31,4,3,Tercero cuatrimestre,A,2017C -2018B,2007/05/18,2025/08/18,2020/04/26 17:50,1900/01/01 00:00,1900/01/01 00:00
94,36,4,1,Primer cuatrimestre,C,2018C -2019B,0000-00-00,2015/12/18,2020/04/26 19:55,1900/01/01 00:00,1900/01/01 00:00
95,36,4,1,Primer cuatrimestre,C,2018C -2019B,0000-00-00,2015/12/18,2020/04/26 19:55,1900/01/01 00:00,1900/01/01 00:00
96,36,4,2,Segundo cuatrimestre,A,2018-C -2019B,2004/01/19,2004/05/19,2020/04/26 20:17,1900/01/01 00:00,1900/01/01 00:00
97,37,4,1,Primer cuatrimestre,B,2018-B-2019-A,2007/05/18,2025/08/18,2020/04/26 21:04,1900/01/01 00:00,1900/01/01 00:00
98,37,4,2,Segundo cuatrimestre,C,2018B-2019A,2027/08/18,2015/12/18,2020/04/26 22:00,1900/01/01 00:00,1900/01/01 00:00
